month,brand,review_count,avg_rating,xhs_post_count,avg_xhs_sentiment
2015-05,Bausch & Lomb,0,,0,
2015-06,Bausch & Lomb,0,,0,
2015-07,Bausch & Lomb,0,,0,
2015-08,Bausch & Lomb,0,,0,
2015-09,Bausch & Lomb,0,,0,
2015-10,Bausch & Lomb,0,,0,
2015-11,Bausch & Lomb,0,,0,
2015-12,Bausch & Lomb,0,,0,
2016-01,Bausch & Lomb,0,,0,
2016-02,Bausch & Lomb,0,,0,
2016-03,Bausch & Lomb,0,,0,
2016-04,Bausch & Lomb,0,,0,
2016-05,Bausch & Lomb,0,,0,
2016-06,Bausch & Lomb,0,,0,
2016-07,Bausch & Lomb,0,,0,
2016-08,Bausch & Lomb,0,,1,1.0
2016-09,Bausch & Lomb,0,,0,
2016-10,Bausch & Lomb,0,,0,
2016-11,Bausch & Lomb,0,,0,
2016-12,Bausch & Lomb,0,,0,
2017-01,Bausch & Lomb,0,,0,
2017-02,Bausch & Lomb,0,,0,
2017-03,Bausch & Lomb,0,,0,
2017-04,Bausch & Lomb,0,,0,
2017-05,Bausch & Lomb,0,,0,
2017-06,Bausch & Lomb,0,,0,
2017-07,Bausch & Lomb,0,,0,
2017-08,Bausch & Lomb,0,,0,
2017-09,Bausch & Lomb,0,,0,
2017-10,Bausch & Lomb,0,,0,
2017-11,Bausch & Lomb,0,,0,
2017-12,Bausch & Lomb,0,,0,
2018-01,Bausch & Lomb,0,,0,
2018-02,Bausch & Lomb,0,,0,
2018-03,Bausch & Lomb,0,,0,
2018-04,Bausch & Lomb,0,,0,
2018-05,Bausch & Lomb,0,,0,
2018-06,Bausch & Lomb,0,,0,
2018-07,Bausch & Lomb,0,,0,
2018-08,Bausch & Lomb,0,,0,
2018-09,Bausch & Lomb,0,,0,
2018-10,Bausch & Lomb,0,,0,
2018-11,Bausch & Lomb,0,,0,
2018-12,Bausch & Lomb,0,,0,
2019-01,Bausch & Lomb,0,,0,
2019-02,Bausch & Lomb,0,,0,
2019-03,Bausch & Lomb,0,,0,
2019-04,Bausch & Lomb,0,,0,
2019-05,Bausch & Lomb,0,,1,1.0
2019-06,Bausch & Lomb,0,,0,
2019-07,Bausch & Lomb,0,,0,
2019-08,Bausch & Lomb,0,,0,
2019-09,Bausch & Lomb,0,,0,
2019-10,Bausch & Lomb,0,,0,
2019-11,Bausch & Lomb,0,,0,
2019-12,Bausch & Lomb,0,,0,
2020-01,Bausch & Lomb,0,,0,
2020-02,Bausch & Lomb,0,,0,
2020-03,Bausch & Lomb,0,,0,
2020-04,Bausch & Lomb,0,,0,
2020-05,Bausch & Lomb,0,,0,
2020-06,Bausch & Lomb,0,,0,
2020-07,Bausch & Lomb,0,,0,
2020-08,Bausch & Lomb,0,,0,
2020-09,Bausch & Lomb,0,,0,
2020-10,Bausch & Lomb,0,,0,
2020-11,Bausch & Lomb,0,,0,
2020-12,Bausch & Lomb,0,,0,
2021-01,Bausch & Lomb,0,,0,
2021-02,Bausch & Lomb,0,,0,
2021-03,Bausch & Lomb,0,,0,
2021-04,Bausch & Lomb,0,,0,
2021-05,Bausch & Lomb,0,,0,
2021-06,Bausch & Lomb,0,,0,
2021-07,Bausch & Lomb,4,4.5,0,
2021-08,Bausch & Lomb,47,4.49,0,
2021-09,Bausch & Lomb,28,4.57,2,0.5
2021-10,Bausch & Lomb,19,4.42,0,
2021-11,Bausch & Lomb,26,4.15,0,
2021-12,Bausch & Lomb,15,4.67,0,
2022-01,Bausch & Lomb,14,4.71,0,
2022-02,Bausch & Lomb,13,4.38,0,
2022-03,Bausch & Lomb,23,4.52,0,
2022-04,Bausch & Lomb,23,4.57,0,
2022-05,Bausch & Lomb,16,4.31,1,1.0
2022-06,Bausch & Lomb,13,4.69,0,
2022-07,Bausch & Lomb,24,3.79,1,-1.0
2022-08,Bausch & Lomb,45,4.62,0,
2022-09,Bausch & Lomb,43,4.63,0,
2022-10,Bausch & Lomb,38,4.24,0,
2022-11,Bausch & Lomb,33,4.24,0,
2022-12,Bausch & Lomb,38,4.29,0,
2023-01,Bausch & Lomb,37,4.46,1,-1.0
2023-02,Bausch & Lomb,38,4.26,0,
2023-03,Bausch & Lomb,41,4.41,0,
2023-04,Bausch & Lomb,29,3.69,0,
2023-05,Bausch & Lomb,27,3.78,2,0.0
2023-06,Bausch & Lomb,22,4.14,0,
2023-07,Bausch & Lomb,26,4.38,1,1.0
2023-08,Bausch & Lomb,53,4.36,0,
2023-09,Bausch & Lomb,46,4.61,1,1.0
2023-10,Bausch & Lomb,43,4.65,2,0.0
2023-11,Bausch & Lomb,35,4.63,1,-1.0
2023-12,Bausch & Lomb,37,4.57,0,
2024-01,Bausch & Lomb,43,4.44,3,0.0
2024-02,Bausch & Lomb,24,4.54,4,-0.25
2024-03,Bausch & Lomb,50,4.72,3,0.333
2024-04,Bausch & Lomb,34,4.62,4,0.25
2024-05,Bausch & Lomb,36,4.67,2,1.0
2024-06,Bausch & Lomb,34,4.29,4,0.5
2024-07,Bausch & Lomb,31,4.74,5,0.2
2024-08,Bausch & Lomb,34,4.56,6,0.333
2024-09,Bausch & Lomb,27,4.56,2,1.0
